IDX	최초 출현 연도	색인표제어	등재표제어	조어 유형	원어	어종	품사	전문분야	의미 영역	X년 Y월 신어
2020-0001	2020	각자도생주의	각자도생-주의		(各自圖生主義)	한+한	「명」			【2020년 5월 신어】
2020-0002	2020	감염병특별관리지역	감염병^특별^관리^지역		(感染病特別管理地域)	한^한^한^한		『보건 일반』		【2020년 2월 신어】
2020-0003	2020	거스름돈계좌적립서비스	거스름돈^계좌^적립^서비스		(거스름돈計座積立<영>service)	고^한^한^영		『경제』		【2019년 12월 신어】
2020-0004	2020	건식세차장	건식 세차장		(乾式洗車場)	한_한	「구」			【2020년 5월 신어】
2020-0005	2020	게이밍숍	게이밍 숍		(<영>gaming shop)	영_영	「구」			【2019년 8월 신어】
2020-0006	2020	격리생활시설	격리^생활^시설		(隔離生活施設)	한^한^한		『보건 일반』		【2020년 1월 신어】
2020-0007	2020	공감소비운동	공감 소비 운동		(共感消費運動)	한_한_한	「구」			【2020년 3월 신어】
2020-0008	2020	공공생활권	공공 생활권		(公共生活圈)	한_한	「구」			【2019년 10월 신어】
2020-0009	2020	공공선별진료소	공공^선별^진료소		(公共選別診療所)	한^한^한		『보건 일반』		【2020년 2월 신어】
2020-0010	2020	공공재정환수제도	공공^재정^환수^제도		(公共財政還收制度)	한^한^한^한		『행정』		【2019년 8월 신어】
2020-0011	2020	공기단백질	공기-단백질		(空氣蛋白質)	한+한	「명」			【2020년 3월 신어】
2020-0012	2020	공동주택사육허가제	공동^주택^사육^허가제		(共同住宅飼育許可制)	한^한^한^한		『행정』		【2020년 1월 신어】
2020-0013	2020	공유식기	공유 식기		(共有食器)	한_한	「구」			【2020년 1월 신어】
2020-0014	2020	공익기능증진직불금	공익^기능^증진^직불금		(公益機能增進直拂金)	한^한^한^한		『행정』		【2019년 12월 신어】
2020-0015	2020	공익기능증진직불제	공익^기능^증진^직불제		(公益機能增進直拂制)	한^한^한^한		『행정』		【2019년 9월 신어】
2020-0016	2020	공적마스크	공적^마스크		(公的<영>mask)	한^영		『행정』		【2020년 2월 신어】
2020-0017	2020	공적마스크제도	공적^마스크^제도		(公的<영>mask制度)	한^영^한		『행정』		【2020년 2월 신어】
2020-0018	2020	공적판매처	공적^판매처		(公的販賣處)	한^한		『행정』		【2020년 2월 신어】
2020-0019	2020	공정신호등	공정 신호등		(公正信號燈)	한_한	「구」			【2020년 3월 신어】
2020-0020	2020	관내득표	관내 득표		(管內得票)	한_한	「구」			【2020년 4월 신어】
2020-0021	2020	관외득표	관외 득표		(管外得票)	한_한	「구」			【2020년 4월 신어】
